timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
1/26/2025 6:43:46 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:47 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:48 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:49 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:50 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:51 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:52 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:53 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:54 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:55 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:56 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:57 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:58 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:43:59 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:00 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:01 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:02 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:03 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:04 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:05 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:06 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:07 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:08 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:09 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:10 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:11 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:12 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:13 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:14 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:15 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:16 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:17 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:18 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:19 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:20 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:21 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:22 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:23 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:24 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:25 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:26 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:27 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:28 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:29 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:30 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:31 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:32 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:33 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:34 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:35 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:36 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:37 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:38 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:39 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:40 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:41 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:42 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:43 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:44 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:45 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:46 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:47 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:48 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:49 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:50 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:51 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:52 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:53 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:54 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:55 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:56 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:57 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:58 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:44:59 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:00 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:01 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:02 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:03 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:04 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:05 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:06 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:07 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:08 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:09 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:10 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:11 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:12 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:13 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:14 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:15 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:16 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:17 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:18 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:19 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:20 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:21 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:22 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:23 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:24 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:25 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:26 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:27 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:28 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:29 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:30 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:31 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:32 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:33 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:34 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:35 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:36 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:37 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:38 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:39 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:40 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:41 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:42 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:43 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:44 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:45 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:46 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:47 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:48 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:49 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:50 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:51 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:52 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:53 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:54 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:55 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:56 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:57 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:58 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:45:59 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:00 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:01 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:02 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:03 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:04 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:05 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:06 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:07 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:08 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:09 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:10 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:11 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:12 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:13 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:14 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:15 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:16 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:17 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:18 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:19 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:20 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:21 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:22 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:23 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:24 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:25 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:26 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:27 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:28 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:29 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:30 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:31 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:32 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:33 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:34 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:35 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:36 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:37 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:38 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:39 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:40 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:41 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:42 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:43 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:44 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:45 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:46 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:47 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:48 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:49 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:50 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:51 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:52 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:53 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:54 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:55 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:56 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:57 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:58 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:46:59 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:00 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:01 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:02 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:03 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:04 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:05 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:06 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:07 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:08 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:09 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:10 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:11 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:12 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:13 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:14 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:15 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:16 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:17 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:18 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:19 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:20 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:21 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:22 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:23 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:24 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:25 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:26 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:27 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:28 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:29 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:30 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:31 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:32 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:33 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:34 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:35 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:36 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:37 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:38 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:39 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:40 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:41 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:42 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:43 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:44 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:45 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:46 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:47 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:48 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:49 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:50 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:51 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:52 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:53 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:54 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:55 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:56 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:57 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:58 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:47:59 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:00 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:01 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:02 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:03 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:04 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:05 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:06 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:07 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:08 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:09 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:10 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:11 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:12 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:13 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:14 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:15 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:16 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:17 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:18 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:19 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:20 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:21 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:22 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:23 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:24 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:25 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:26 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:27 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:28 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:29 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:30 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:31 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:32 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:33 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:34 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:35 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:36 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:37 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:38 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:39 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:40 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:41 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:42 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:43 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:44 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:45 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:46 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:47 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:48 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:49 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:50 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:51 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:52 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:53 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:54 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:55 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:56 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:57 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:58 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:48:59 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:00 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:01 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:02 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:03 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:04 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:05 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:06 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:07 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:08 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:09 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:10 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:11 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:12 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:13 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:14 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:15 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:16 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
1/26/2025 6:49:17 PM;-0.695;1.791;2.536;-0.695;1.791;2.536
